,Age,CapitalGain,CapitalLoss,HoursPerWeek,Work-Class,Education,Marital_status,Ocupation,Relationship,Race,Sex,Country,prediction
5794,51,0,0,40, Private, HS-grad, Married-civ-spouse, Protective-serv, Husband, White, Male, United-States,1
26705,21,0,0,12, Private, Assoc-voc, Married-civ-spouse, Adm-clerical, Wife, White, Female, United-States,0
3474,43,0,0,48, Local-gov, Bachelors, Divorced, Prof-specialty, Unmarried, White, Female, United-States,0
31797,36,0,0,48, Private, Some-college, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, United-States,1
26674,42,0,0,60, Private, Bachelors, Married-civ-spouse, Sales, Husband, White, Male, United-States,1
12609,18,0,0,40, ?, 10th, Never-married, ?, Own-child, White, Male, United-States,0
23116,31,0,0,40, Private, Some-college, Never-married, Adm-clerical, Not-in-family, White, Male, Germany,0
4048,51,0,0,20, Self-emp-not-inc, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States,0
14792,31,0,0,8, Private, HS-grad, Never-married, Other-service, Unmarried, White, Female, United-States,0
11543,65,0,0,20, Private, HS-grad, Married-civ-spouse, Adm-clerical, Husband, White, Male, United-States,0
21909,22,0,0,40, Private, Some-college, Never-married, Craft-repair, Unmarried, White, Male, United-States,0
5644,48,0,0,38, Private, 10th, Divorced, Sales, Not-in-family, White, Female, United-States,0
32462,48,7298,0,50, Self-emp-inc, HS-grad, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States,1
4272,22,0,0,40, ?, Some-college, Never-married, ?, Own-child, White, Male, United-States,0
22809,34,0,0,45, Private, HS-grad, Divorced, Craft-repair, Unmarried, White, Male, United-States,0
29125,24,0,0,55, Private, Some-college, Never-married, Machine-op-inspct, Own-child, White, Male, United-States,0
12337,27,0,0,45, Private, Bachelors, Married-civ-spouse, Exec-managerial, Wife, Black, Female, United-States,1
1728,49,0,0,50, Private, Masters, Married-civ-spouse, Prof-specialty, Wife, White, Female, United-States,1
12129,33,0,0,40, Private, HS-grad, Never-married, Transport-moving, Other-relative, Asian-Pac-Islander, Male, United-States,0
26302,42,0,0,40, Private, 9th, Married-civ-spouse, Transport-moving, Husband, White, Male, United-States,0
10170,24,3908,0,40, Private, Bachelors, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States,1
12288,41,0,0,50, State-gov, Doctorate, Married-civ-spouse, Prof-specialty, Husband, White, Male, United-States,1
31981,26,0,0,40, Private, HS-grad, Never-married, Other-service, Own-child, White, Male, United-States,0
8201,22,0,0,25, Private, Some-college, Never-married, Adm-clerical, Own-child, White, Male, United-States,0
30600,64,0,0,10, Local-gov, 7th-8th, Married-civ-spouse, Protective-serv, Husband, White, Male, United-States,0
4371,29,0,0,40, Private, HS-grad, Married-civ-spouse, Transport-moving, Husband, White, Male, United-States,0
14628,31,0,0,35, State-gov, Some-college, Married-civ-spouse, Craft-repair, Husband, White, Male, United-States,0
5974,49,0,0,40, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, White, Male, United-States,0
5465,49,0,0,60, Self-emp-inc, Assoc-voc, Divorced, Exec-managerial, Not-in-family, White, Male, United-States,1
